Калиновский р-н,172
Теплицкий р-н,232
Жмеринский р-н,234
Тростянецкий р-н,248
Оратовский р-н,272
Томашпольский р-н,277
Барский р-н,281
Козятинский р-н,418
Винницкий р-н,425
Чечельницкий р-н,449
Черновицкий р-н,454
Жмеринка,462
Погребищенский р-н,502
г.Винница,577
Гайсинский р-н,601
Тульчинский р-н,613
Тывровский р-н,615
Шаргородский р-н,646
Ильинецкий р-н,694
Крыжопольский р-н,740
г.Могилев-Подольский,780
Литинский р-н,802
Ямпольский р-н,815
Мурованокуриловецкий р-н,825
Немировский р-н,877
Могилев-Подольский р-н,882
Хмельницкий р-н,882
Липовецкий р-н,959
Бершадский р-н,972
